time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,
638140284732865692,0.070806,0.070807,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284753913353,0.070807,0.070808,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284753913813,0.070807,0.070808,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284790975637,0.070808,0.070808,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284790977901,0.070808,0.070809,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284811854808,0.070809,0.07081,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284811855876,0.070809,0.07081,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284812832642,0.07081,0.07081,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284812833510,0.07081,0.070811,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284813931101,0.070811,0.070812,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284813931695,0.070811,0.070812,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284824033247,0.070814,0.070812,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284824033798,0.070814,0.070812,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284824042641,0.070814,0.070815,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284824981229,0.070815,0.070815,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284824984494,0.070815,0.070816,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284884938924,0.070816,0.070816,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284884939694,0.070816,0.070817,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284902901483,0.070818,0.070817,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284902903902,0.070818,0.070819,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284902904276,0.070818,0.070819,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284904048174,0.070819,0.07082,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140284904050593,0.070819,0.07082,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140285021882594,0.070819,0.07082,0.07068743,0.07088967,0.07081,0.07081,0,0,
638140285021889592,0.070819,0.07082,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140285176171851,0.070818,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140285176172722,0.070818,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140285178822870,0.070818,0.070819,0.07068743,0.07088967,0.0708,0.07082,0,0,
638140285178823664,0.070818,0.070819,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140285252844695,0.070818,0.070819,0.07068743,0.07088967,0.0708,0.07082,0,0,
638140285253945806,0.070818,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140285351425016,0.070819,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140285351436028,0.070819,0.07082,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140285351439198,0.070819,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140285354095200,0.070822,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140285461165643,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.07082,0,0,
638140285461168814,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140285461726023,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.07081,0,0,
638140285462068954,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140285470481593,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.0708,0,0,
638140285470483878,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.07076,0,0,
638140285470484263,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.07076,0,0,
638140285471096892,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07076,0,0,
638140285471098420,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140285471905338,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140285472827643,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140285473766075,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140285484876697,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140285484879993,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140285563932978,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285563936406,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07077,0,0,
638140285565782250,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285566897648,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07077,0,0,
638140285570823148,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285576791847,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07077,0,0,
638140285583737986,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285608771628,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140285615920103,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285616840264,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140285618931687,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285621931602,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140285628836928,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285632758006,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140285634802152,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285638893727,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07077,0,0,
638140285657750404,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285658840743,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140285659785257,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285677884925,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140285682889856,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285683837717,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140285694915107,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140285696864817,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07077,0,0,
638140286212990842,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140286217810814,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140286263928054,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140286274017044,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140286278943728,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140286286828356,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140286287923650,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140286290881267,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140286411987864,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286418933201,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286439915070,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286443971533,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286446929401,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286452878766,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286484802146,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286485913588,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286503951420,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286525858817,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286565872048,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286565873644,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140286566820240,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286567923331,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286568847637,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286583839832,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286591833713,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286592944627,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286595939015,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286596868375,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140287101822763,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140287101823336,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140287112864437,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.0708,0,0,
638140287112866290,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140287271918957,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.07082,0,0,
638140287273048025,0.070822,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140287347965033,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07082,0,0,
638140287347965865,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07083,0,0,
638140287395822397,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07084,0,0,
638140287395828109,0.070822,0.070819,0.07068743,0.07088967,0.07083,0.07084,0,0,
638140287821945800,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07083,0,0,
638140287821947390,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07083,0,0,
638140288160039046,0.070822,0.070819,0.07068743,0.07088967,0.07081,0.07083,0,0,
638140288160041054,0.070822,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140288160962285,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.07082,0,0,
638140288160964026,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140288162034992,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140288162035696,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140288162036376,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.0708,0,0,
638140288162037432,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140288166087539,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288166088762,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140288167931351,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288169058068,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140288169971119,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288169972562,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140288171054517,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288171967627,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140288173067298,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288174002170,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140288174976226,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288174994303,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140288181062518,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.07078,0,0,
638140288181065455,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.07078,0,0,
638140288181066449,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.07076,0,0,
638140288181066847,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.07076,0,0,
638140288183084046,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.07077,0,0,
638140288184040625,0.070822,0.070819,0.07068743,0.07088967,0.07075,0.07076,0,0,
638140288194552697,0.070822,0.070819,0.07066324,0.07088967,0.07075,0.07076,0,0,
638140288195052570,0.070822,0.070819,0.07066324,0.07088967,0.07074,0.07076,0,0,
638140288195057245,0.070822,0.070819,0.07066324,0.07088967,0.07074,0.07075,0,0,
638140288195354348,0.070822,0.070819,0.07066324,0.07084059,0.07074,0.07075,0,0,
638140288197546590,0.070822,0.070819,0.07064375,0.07084059,0.07074,0.07075,0,0,
638140288198925687,0.070822,0.070819,0.0705855,0.07084059,0.07074,0.07075,0,0,
638140288200652116,0.070822,0.070819,0.0705855,0.07084059,0.07072,0.07075,0,0,
638140288200666309,0.070822,0.070819,0.0705855,0.07084059,0.07072,0.07073,0,0,
638140288200666676,0.070822,0.070819,0.0705855,0.07084059,0.07072,0.07073,0,0,
638140288200667052,0.070822,0.070819,0.0705855,0.07084059,0.07072,0.07073,0,0,
638140288201593355,0.070822,0.070819,0.0705855,0.0707848,0.07072,0.07073,0,0,
638140288202073557,0.070822,0.070819,0.07054981,0.0707848,0.07072,0.07073,0,0,
638140288204559530,0.070822,0.070819,0.07054981,0.0707848,0.07069,0.07073,0,0,
638140288204565239,0.070822,0.070819,0.07054981,0.0707848,0.07069,0.07072,0,0,
638140288207814972,0.070822,0.070819,0.07054981,0.07072744,0.07069,0.07072,0,0,
638140288208913174,0.070822,0.070819,0.07054981,0.07072744,0.07067,0.07072,0,0,
638140288208913894,0.070822,0.070819,0.07054981,0.07072744,0.07067,0.07072,0,0,
638140288208919079,0.070822,0.070819,0.07054981,0.07072744,0.07067,0.07068,0,0,
638140288208919443,0.070822,0.070819,0.07054981,0.07072744,0.07067,0.07068,0,0,
638140288208919819,0.070822,0.070819,0.07054981,0.07072744,0.07067,0.07068,0,0,
638140288209255662,0.070822,0.070819,0.0704977,0.07072744,0.07067,0.07068,0,0,
638140288209376366,0.070822,0.070819,0.0704977,0.07072744,0.07066,0.07068,0,0,
638140288212178453,0.070822,0.070819,0.0704977,0.07067791,0.07066,0.07068,0,0,
638140288212783452,0.070822,0.070819,0.0704977,0.07067791,0.07066,0.07067,0,0,
638140288214354542,0.070822,0.070819,0.0704977,0.07067791,0.07066,0.07069,0,0,
638140288214395625,0.070822,0.070819,0.0704977,0.07067791,0.07067,0.07069,0,0,
638140288215914324,0.070822,0.070819,0.0704977,0.07067791,0.07064,0.07069,0,0,
638140288215917218,0.070822,0.070819,0.0704977,0.07067791,0.07064,0.07066,0,0,
638140288215917581,0.070822,0.070819,0.0704977,0.07067791,0.07064,0.07066,0,0,
638140288216373983,0.070822,0.070819,0.0704977,0.07062883,0.07064,0.07066,0,0,
638140288216374584,0.070822,0.070819,0.0704977,0.07062883,0.07064,0.07066,0,0,
638140288216565719,0.070822,0.070819,0.07047482,0.07062883,0.07064,0.07066,0,0,
638140288217640914,0.070822,0.070819,0.07044475,0.07062883,0.07064,0.07066,0,0,
638140288219511425,0.070822,0.070819,0.07044475,0.07062883,0.07063,0.07066,0,0,
638140288219532616,0.070822,0.070819,0.07044475,0.07062883,0.07063,0.07064,0,0,
638140288219533000,0.070822,0.070819,0.07044475,0.07062883,0.07063,0.07064,0,0,
638140288221364790,0.070822,0.070819,0.07040782,0.07062883,0.07063,0.07064,0,0,
638140288222443948,0.070822,0.070819,0.07040782,0.07060639,0.07063,0.07064,0,0,
638140288222593995,0.070822,0.070819,0.07040782,0.07057924,0.07063,0.07064,0,0,
638140288226805874,0.070822,0.070819,0.07040782,0.07063331,0.07063,0.07064,0,0,
638140288231511773,0.070822,0.070819,0.07040782,0.07063331,0.07055,0.07064,0,0,
638140288231520852,0.070822,0.070819,0.07040782,0.07063331,0.07055,0.07056,0,0,
638140288235719458,0.070822,0.070819,0.07040782,0.07063331,0.07057,0.07056,0,0,
638140288235732111,0.070822,0.070819,0.07040782,0.07063331,0.07057,0.0706,0,0,
638140288235732478,0.070822,0.070819,0.07040782,0.07063331,0.07057,0.0706,0,0,
638140288236029290,0.070822,0.070819,0.07040782,0.07063331,0.07056,0.0706,0,0,
638140288236643612,0.070822,0.070819,0.07040782,0.07063331,0.07054,0.0706,0,0,
638140288236644434,0.070822,0.070819,0.07040782,0.07063331,0.07057,0.0706,0,0,
638140288236647818,0.070822,0.070819,0.07040782,0.07063331,0.07058,0.0706,0,0,
638140288236650402,0.070822,0.070819,0.07040782,0.07063331,0.07058,0.07059,0,0,
638140288237588710,0.070822,0.070819,0.07040782,0.07063331,0.07058,0.07058,0,0,
638140288237599077,0.070822,0.070819,0.07040782,0.07063331,0.07055,0.07058,0,0,
638140288238358216,0.070822,0.070819,0.07040782,0.07063331,0.07057,0.07058,0,0,
638140288238358888,0.070822,0.070819,0.07040782,0.07063331,0.07057,0.07058,0,0,
638140288238362706,0.070822,0.070819,0.07040782,0.07063331,0.07057,0.07059,0,0,
638140288243006110,0.070822,0.070819,0.07040782,0.07068223,0.07057,0.07059,0,0,
638140288243007973,0.070822,0.070819,0.07040782,0.07072444,0.07057,0.07059,0,0,
638140288244907443,0.070822,0.070819,0.07040782,0.07072444,0.07051,0.07059,0,0,
638140288244918101,0.070822,0.070819,0.07040782,0.07072444,0.07051,0.07057,0,0,
638140288245371453,0.070822,0.070819,0.07040782,0.07072444,0.07052,0.07057,0,0,
638140288245378902,0.070822,0.070819,0.07040782,0.07072444,0.07052,0.07055,0,0,
638140288245379283,0.070822,0.070819,0.07040782,0.07072444,0.07052,0.07055,0,0,
638140288248712789,0.070822,0.070819,0.07044069,0.07072444,0.07052,0.07055,0,0,
638140288253141631,0.070822,0.070819,0.0704678,0.07072444,0.07052,0.07055,0,0,
638140288259870847,0.070822,0.070819,0.0704678,0.07072444,0.07052,0.07054,0,0,
638140288259881200,0.070822,0.070819,0.0704678,0.07072444,0.07043,0.07054,0,0,
638140288260758492,0.070822,0.070819,0.0704678,0.07072444,0.07047,0.07054,0,0,
638140288260759488,0.070822,0.070819,0.0704678,0.07072444,0.07047,0.07054,0,0,
638140288260759995,0.070822,0.070819,0.0704678,0.07072444,0.07047,0.07054,0,0,
638140288260762738,0.070822,0.070819,0.0704678,0.07072444,0.07047,0.07052,0,0,
638140288260763043,0.070822,0.070819,0.0704678,0.07072444,0.07047,0.07051,0,0,
638140288260763365,0.070822,0.070819,0.0704678,0.07072444,0.07047,0.07051,0,0,
638140288261389223,0.070822,0.070819,0.0704678,0.07072444,0.07048,0.07051,0,0,
638140288261390450,0.070822,0.070819,0.0704678,0.07072444,0.07048,0.07051,0,0,
638140288261391349,0.070822,0.070819,0.0704678,0.07072444,0.07048,0.07049,0,0,
638140288261391737,0.070822,0.070819,0.0704678,0.07072444,0.07048,0.07049,0,0,
638140288262310465,0.070822,0.070819,0.07052066,0.07072444,0.07048,0.07049,0,0,
638140288267792013,0.070822,0.070819,0.07052066,0.07072444,0.07043,0.0705,0,0,
638140288267796349,0.070822,0.070819,0.07052066,0.07072444,0.07043,0.07051,0,0,
638140288267796718,0.070822,0.070819,0.07052066,0.07072444,0.07043,0.07051,0,0,
638140288267930055,0.070822,0.070819,0.07052066,0.07072444,0.07045,0.07051,0,0,
638140288267930652,0.070822,0.070819,0.07052066,0.07072444,0.07045,0.07051,0,0,
638140288267934679,0.070822,0.070819,0.07052066,0.07072444,0.07045,0.0705,0,0,
638140288268208663,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.0705,0,0,
638140288268213519,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.07049,0,0,
638140288268565519,0.070822,0.070819,0.07052066,0.07072444,0.07041,0.07045,0,0,
638140288268568518,0.070822,0.070819,0.07052066,0.07072444,0.07041,0.07044,0,0,
638140288268568900,0.070822,0.070819,0.07052066,0.07072444,0.07041,0.07044,0,0,
638140288268569274,0.070822,0.070819,0.07052066,0.07072444,0.07041,0.07044,0,0,
638140288268569557,0.070822,0.070819,0.07052066,0.07072444,0.07041,0.07044,0,0,
638140288268854621,0.070822,0.070819,0.07052066,0.07072444,0.07042,0.07044,0,0,
638140288269938865,0.070822,0.070819,0.07052066,0.07072444,0.07043,0.07044,0,0,
638140288272441357,0.070822,0.070819,0.07052066,0.07072444,0.07043,0.07045,0,0,
638140288272747730,0.070822,0.070819,0.07052066,0.07072444,0.07044,0.07045,0,0,
638140288272750696,0.070822,0.070819,0.07052066,0.07072444,0.07044,0.07046,0,0,
638140288273688367,0.070822,0.070819,0.07052066,0.07072444,0.07048,0.07046,0,0,
638140288273689180,0.070822,0.070819,0.07052066,0.07072444,0.07048,0.07046,0,0,
638140288273689622,0.070822,0.070819,0.07052066,0.07072444,0.07048,0.07046,0,0,
638140288273693072,0.070822,0.070819,0.07052066,0.07072444,0.07048,0.0705,0,0,
638140288273999220,0.070822,0.070819,0.07052066,0.07072444,0.07044,0.0705,0,0,
638140288273999833,0.070822,0.070819,0.07052066,0.07072444,0.07044,0.0705,0,0,
638140288274298395,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.0705,0,0,
638140288274298959,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.0705,0,0,
638140288274301763,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.07048,0,0,
638140288274302296,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.07048,0,0,
638140288274473422,0.070822,0.070819,0.07052066,0.07072444,0.07047,0.07048,0,0,
638140288274474311,0.070822,0.070819,0.07052066,0.07072444,0.07047,0.07049,0,0,
638140288274878525,0.070822,0.070819,0.07052066,0.07072444,0.07045,0.07049,0,0,
638140288275851136,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.07049,0,0,
638140288275854691,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.0705,0,0,
638140288277002626,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.07047,0,0,
638140288277739292,0.070822,0.070819,0.07052066,0.07072444,0.07045,0.07047,0,0,
638140288278507739,0.070822,0.070819,0.07052066,0.07072444,0.07045,0.07048,0,0,
638140288279139792,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.07048,0,0,
638140288279143702,0.070822,0.070819,0.07052066,0.07072444,0.07046,0.07047,0,0,
638140288279447383,0.070822,0.070819,0.07052066,0.0708038,0.07046,0.07048,0,0,
638140288279448587,0.070822,0.070819,0.07052066,0.0708038,0.07046,0.07048,0,0,
638140288281000326,0.070822,0.070819,0.07052066,0.0708038,0.07049,0.07048,0,0,
638140288281010703,0.070822,0.070819,0.07052066,0.0708038,0.07049,0.07052,0,0,
638140288282270328,0.070822,0.070819,0.07052066,0.0708038,0.07051,0.07053,0,0,
638140288282273719,0.070822,0.070819,0.07052066,0.0708038,0.07051,0.07053,0,0,
638140288282404062,0.070822,0.070819,0.07057059,0.0708038,0.07051,0.07053,0,0,
638140288283028887,0.070822,0.070819,0.07057059,0.0708038,0.07046,0.07052,0,0,
638140288283029543,0.070822,0.070819,0.07057059,0.0708038,0.07046,0.07052,0,0,
638140288283338817,0.070822,0.070819,0.07057059,0.0708038,0.07051,0.07052,0,0,
638140288283341256,0.070822,0.070819,0.07057059,0.0708038,0.07051,0.07053,0,0,
638140288283341617,0.070822,0.070819,0.07057059,0.0708038,0.07051,0.07053,0,0,
638140288283361328,0.070822,0.070819,0.07057059,0.0708038,0.07051,0.07054,0,0,
638140288283960050,0.070822,0.070819,0.07057059,0.0708038,0.07052,0.07056,0,0,
638140288283960941,0.070822,0.070819,0.07057059,0.0708038,0.07052,0.07056,0,0,
638140288283961330,0.070822,0.070819,0.07057059,0.0708038,0.07052,0.07056,0,0,
638140288284430706,0.070822,0.070819,0.07057059,0.0708038,0.07054,0.07057,0,0,
638140288284434119,0.070822,0.070819,0.07057059,0.0708038,0.07054,0.07057,0,0,
638140288284434497,0.070822,0.070819,0.07057059,0.0708038,0.07054,0.07057,0,0,
